Date,IMOEX
2013-01-01,1526.98
2013-01-02,1526.98
2013-01-03,1526.98
2013-01-04,1526.98
2013-01-05,1526.98
2013-01-06,1526.98
2013-01-07,1526.98
2013-01-08,1526.98
2013-01-09,1576.1
2013-01-10,1568.59
2013-01-11,1572.0
2013-01-12,1572.0
2013-01-13,1572.0
2013-01-14,1571.73
2013-01-15,1590.21
2013-01-16,1576.54
2013-01-17,1571.15
2013-01-18,1585.44
2013-01-19,1585.44
2013-01-20,1585.44
2013-01-21,1603.44
2013-01-22,1600.13
2013-01-23,1589.02
2013-01-24,1605.36
2013-01-25,1604.66
2013-01-26,1604.66
2013-01-27,1604.66
2013-01-28,1618.84
2013-01-29,1635.5
2013-01-30,1623.87
2013-01-31,1618.71
2013-02-01,1621.71
2013-02-02,1621.71
2013-02-03,1621.71
2013-02-04,1628.26
2013-02-05,1612.52
2013-02-06,1614.09
2013-02-07,1602.99
2013-02-08,1595.36
2013-02-09,1595.36
2013-02-10,1595.36
2013-02-11,1590.13
2013-02-12,1581.95
2013-02-13,1582.35
2013-02-14,1612.55
2013-02-15,1588.31
2013-02-16,1588.31
2013-02-17,1588.31
2013-02-18,1577.26
2013-02-19,1578.65
2013-02-20,1592.74
2013-02-21,1582.63
2013-02-22,1545.59
2013-02-23,1545.59
2013-02-24,1545.59
2013-02-25,1551.04
2013-02-26,1565.07
2013-02-27,1531.66
2013-02-28,1530.38
2013-03-01,1534.41
2013-03-02,1534.41
2013-03-03,1534.41
2013-03-04,1509.8
2013-03-05,1498.79
2013-03-06,1523.34
2013-03-07,1529.32
2013-03-08,1529.32
2013-03-09,1529.32
2013-03-10,1529.32
2013-03-11,1532.09
2013-03-12,1539.87
2013-03-13,1542.55
2013-03-14,1531.14
2013-03-15,1535.73
2013-03-16,1535.73
2013-03-17,1535.73
2013-03-18,1537.66
2013-03-19,1494.3
2013-03-20,1478.82
2013-03-21,1489.34
2013-03-22,1485.73
2013-03-23,1485.73
2013-03-24,1485.73
2013-03-25,1470.91
2013-03-26,1458.8
2013-03-27,1445.46
2013-03-28,1446.04
2013-03-29,1454.72
2013-03-30,1454.72
2013-03-31,1454.72
2013-04-01,1460.04
2013-04-02,1445.57
2013-04-03,1440.1
2013-04-04,1425.99
2013-04-05,1419.45
2013-04-06,1419.45
2013-04-07,1419.45
2013-04-08,1411.09
2013-04-09,1419.63
2013-04-10,1439.46
2013-04-11,1453.81
2013-04-12,1433.08
2013-04-13,1433.08
2013-04-14,1433.08
2013-04-15,1405.47
2013-04-16,1366.53
2013-04-17,1356.65
2013-04-18,1327.92
2013-04-19,1327.55
2013-04-20,1327.55
2013-04-21,1327.55
2013-04-22,1336.46
2013-04-23,1329.14
2013-04-24,1333.89
2013-04-25,1375.4
2013-04-26,1387.98
2013-04-27,1387.98
2013-04-28,1387.98
2013-04-29,1382.22
2013-04-30,1387.54
2013-05-01,1387.54
2013-05-02,1407.21
2013-05-03,1387.47
2013-05-04,1387.47
2013-05-05,1387.47
2013-05-06,1429.86
2013-05-07,1432.15
2013-05-08,1451.84
2013-05-09,1451.84
2013-05-10,1452.17
2013-05-11,1452.17
2013-05-12,1452.17
2013-05-13,1429.78
2013-05-14,1422.29
2013-05-15,1412.69
2013-05-16,1391.01
2013-05-17,1380.58
2013-05-18,1380.58
2013-05-19,1380.58
2013-05-20,1405.34
2013-05-21,1417.05
2013-05-22,1433.02
2013-05-23,1461.93
2013-05-24,1400.84
2013-05-25,1400.84
2013-05-26,1400.84
2013-05-27,1388.52
2013-05-28,1385.08
2013-05-29,1399.11
2013-05-30,1360.06
2013-05-31,1350.42
2013-06-01,1350.42
2013-06-02,1350.42
2013-06-03,1331.43
2013-06-04,1319.01
2013-06-05,1322.39
2013-06-06,1301.08
2013-06-07,1286.86
2013-06-08,1286.86
2013-06-09,1286.86
2013-06-10,1314.41
2013-06-11,1300.54
2013-06-12,1300.54
2013-06-13,1263.66
2013-06-14,1261.63
2013-06-15,1261.63
2013-06-16,1261.63
2013-06-17,1293.88
2013-06-18,1314.01
2013-06-19,1314.06
2013-06-20,1291.72
2013-06-21,1243.32
2013-06-22,1243.32
2013-06-23,1243.32
2013-06-24,1245.72
2013-06-25,1233.04
2013-06-26,1243.2
2013-06-27,1261.13
2013-06-28,1262.77
2013-06-29,1262.77
2013-06-30,1262.77
2013-07-01,1275.44
2013-07-02,1276.85
2013-07-03,1274.07
2013-07-04,1264.29
2013-07-05,1280.61
2013-07-06,1280.61
2013-07-07,1280.61
2013-07-08,1268.59
2013-07-09,1277.29
2013-07-10,1282.84
2013-07-11,1275.29
2013-07-12,1322.76
2013-07-13,1322.76
2013-07-14,1322.76
2013-07-15,1348.81
2013-07-16,1354.54
2013-07-17,1368.83
2013-07-18,1393.05
2013-07-19,1377.35
2013-07-20,1377.35
2013-07-21,1377.35
2013-07-22,1382.33
2013-07-23,1380.01
2013-07-24,1379.88
2013-07-25,1369.36
2013-07-26,1353.38
2013-07-27,1353.38
2013-07-28,1353.38
2013-07-29,1348.37
2013-07-30,1341.34
2013-07-31,1326.41
2013-08-01,1313.38
2013-08-02,1331.71
2013-08-03,1331.71
2013-08-04,1331.71
2013-08-05,1336.39
2013-08-06,1333.42
2013-08-07,1304.98
2013-08-08,1301.28
2013-08-09,1303.28
2013-08-10,1303.28
2013-08-11,1303.28
2013-08-12,1325.72
2013-08-13,1326.53
2013-08-14,1338.85
2013-08-15,1356.34
2013-08-16,1327.49
2013-08-17,1327.49
2013-08-18,1327.49
2013-08-19,1323.42
2013-08-20,1322.25
2013-08-21,1317.77
2013-08-22,1312.47
2013-08-23,1329.05
2013-08-24,1329.05
2013-08-25,1329.05
2013-08-26,1330.99
2013-08-27,1324.48
2013-08-28,1304.33
2013-08-29,1299.65
2013-08-30,1300.67
2013-08-31,1300.67
2013-09-01,1300.67
2013-09-02,1290.96
2013-09-03,1291.98
2013-09-04,1293.11
2013-09-05,1298.53
2013-09-06,1339.8
2013-09-07,1339.8
2013-09-08,1339.8
2013-09-09,1345.6
2013-09-10,1380.37
2013-09-11,1390.55
2013-09-12,1394.03
2013-09-13,1401.46
2013-09-14,1401.46
2013-09-15,1401.46
2013-09-16,1396.57
2013-09-17,1436.14
2013-09-18,1439.79
2013-09-19,1429.62
2013-09-20,1478.75
2013-09-21,1478.75
2013-09-22,1478.75
2013-09-23,1462.92
2013-09-24,1451.43
2013-09-25,1446.41
2013-09-26,1452.98
2013-09-27,1451.64
2013-09-28,1451.64
2013-09-29,1451.64
2013-09-30,1432.87
2013-10-01,1422.49
2013-10-02,1438.04
2013-10-03,1421.94
2013-10-04,1427.81
2013-10-05,1427.81
2013-10-06,1427.81
2013-10-07,1443.15
2013-10-08,1444.32
2013-10-09,1471.65
2013-10-10,1461.0
2013-10-11,1484.82
2013-10-12,1484.82
2013-10-13,1484.82
2013-10-14,1477.0
2013-10-15,1473.97
2013-10-16,1495.31
2013-10-17,1500.25
2013-10-18,1491.85
2013-10-19,1491.85
2013-10-20,1491.85
2013-10-21,1516.62
2013-10-22,1514.39
2013-10-23,1518.54
2013-10-24,1494.96
2013-10-25,1493.85
2013-10-26,1493.85
2013-10-27,1493.85
2013-10-28,1492.2
2013-10-29,1493.11
2013-10-30,1491.56
2013-10-31,1493.14
2013-11-01,1480.42
2013-11-02,1480.42
2013-11-03,1480.42
2013-11-04,1480.42
2013-11-05,1475.18
2013-11-06,1460.23
2013-11-07,1458.93
2013-11-08,1468.22
2013-11-09,1468.22
2013-11-10,1468.22
2013-11-11,1435.12
2013-11-12,1427.93
2013-11-13,1437.37
2013-11-14,1406.92
2013-11-15,1434.44
2013-11-16,1434.44
2013-11-17,1434.44
2013-11-18,1444.24
2013-11-19,1462.98
2013-11-20,1455.04
2013-11-21,1447.2
2013-11-22,1425.86
2013-11-23,1425.86
2013-11-24,1425.86
2013-11-25,1444.91
2013-11-26,1433.55
2013-11-27,1416.43
2013-11-28,1404.31
2013-11-29,1406.51
2013-11-30,1406.51
2013-12-01,1406.51
2013-12-02,1402.93
2013-12-03,1398.74
2013-12-04,1372.44
2013-12-05,1364.44
2013-12-06,1362.55
2013-12-07,1362.55
2013-12-08,1362.55
2013-12-09,1390.61
2013-12-10,1412.08
2013-12-11,1409.85
2013-12-12,1409.28
2013-12-13,1393.57
2013-12-14,1393.57
2013-12-15,1393.57
2013-12-16,1391.85
2013-12-17,1407.25
2013-12-18,1414.68
2013-12-19,1423.87
2013-12-20,1431.11
2013-12-21,1431.11
2013-12-22,1431.11
2013-12-23,1429.91
2013-12-24,1453.1
2013-12-25,1454.02
2013-12-26,1447.5
2013-12-27,1448.29
2013-12-28,1448.29
2013-12-29,1448.29
2013-12-30,1445.39
2013-12-31,1445.39
2014-01-01,1445.39
2014-01-02,1445.39
2014-01-03,1445.39
